Date,Price,Open,High,Low,Vol.,Change %
8/01/2006,3.461,3.575,3.705,3.34,6.03K,-2.51%
7/01/2006,3.55,3.359,3.77,3.21,114.66K,5.81%
6/01/2006,3.355,3.565,3.59,2.948,17.72K,-6.97%
5/01/2006,3.6065,3.249,4.04,3.2,170.24K,11.99%
4/01/2006,3.2205,2.457,3.377,2.519,30.45K,30.97%
3/01/2006,2.459,2.1775,2.5,2.138,184.53K,12.88%
2/01/2006,2.1785,2.219,2.32,2.117,30.64K,-1.67%
1/01/2006,2.2155,2.0345,2.2375,2.0025,148.35K,8.50%
12/01/2005,2.042,1.966,2.13,1.951,16.50K,3.89%
11/01/2005,1.9655,1.774,1.98,1.774,8.55K,9.68%
10/01/2005,1.792,1.7345,1.858,1.7225,183.49K,3.73%
9/01/2005,1.7275,1.6435,1.783,1.609,18.68K,3.57%
8/01/2005,1.668,1.62,1.698,1.588,4.90K,2.80%
7/01/2005,1.6225,1.4735,1.635,1.46,149.75K,7.45%
6/01/2005,1.51,1.4115,1.587,1.41,26.26K,6.15%
5/01/2005,1.4225,1.4595,1.4625,1.33,199.41K,-2.83%
4/01/2005,1.464,1.485,1.529,1.41,24.66K,-2.20%
3/01/2005,1.497,1.5,1.521,1.442,177.65K,-0.10%
2/01/2005,1.4985,1.4,1.508,1.367,23.98K,5.45%
1/01/2005,1.421,1.4565,1.4775,1.3235,145.63K,-2.17%
12/01/2004,1.4525,1.436,1.472,1.315,14.57K,0.94%
11/01/2004,1.439,1.304,1.446,1.304,3.99K,7.99%
10/01/2004,1.3325,1.393,1.482,1.248,169.63K,-4.55%
9/01/2004,1.396,1.2785,1.408,1.225,22.64K,8.93%
8/01/2004,1.2815,1.2905,1.315,1.232,2.82K,-1.27%
7/01/2004,1.298,1.208,1.317,1.195,145.58K,7.45%
6/01/2004,1.208,1.293,1.297,1.141,24.21K,-5.22%
5/01/2004,1.2745,1.208,1.279,1.129,132.39K,5.55%
4/01/2004,1.2075,1.3675,1.3725,1.1615,20.86K,-11.08%
3/01/2004,1.358,1.3485,1.403,1.256,187.32K,0.89%
2/01/2004,1.346,1.148,1.3555,1.139,29.10K,17.86%
1/01/2004,1.142,1.0625,1.1425,1.054,150.08K,9.23%
12/01/2003,1.0455,0.95,1.051,0.95,11.82K,14.58%
11/01/2003,0.9125,0.937,0.96,0.8855,4.83K,-3.03%
10/01/2003,0.941,0.819,0.9405,0.8175,174.96K,14.97%
9/01/2003,0.8185,0.818,0.832,0.807,17.95K,1.30%
8/01/2003,0.808,0.8225,0.8225,0.7875,2.49K,-1.58%
7/01/2003,0.821,0.753,0.821,0.7465,185.06K,9.03%
6/01/2003,0.753,0.7875,0.794,0.748,24.97K,-3.95%
5/01/2003,0.784,0.7315,0.785,0.715,166.60K,7.25%
4/01/2003,0.731,0.725,0.74,0.711,17.19K,1.95%
3/01/2003,0.717,0.783,0.795,0.72,177.36K,-8.19%
2/01/2003,0.781,0.7945,0.802,0.74,26.27K,-2.07%
1/01/2003,0.7975,0.7025,0.7935,0.7,171.75K,13.52%
12/01/2002,0.7025,0.766,0.766,0.694,21.01K,-6.64%
11/01/2002,0.7525,0.72,0.7535,0.716,5.82K,4.59%
10/01/2002,0.7195,0.666,0.7205,0.657,174.53K,8.03%
9/01/2002,0.666,0.6815,0.7035,0.6595,18.14K,-3.83%
8/01/2002,0.6925,0.679,0.697,0.671,8.35K,1.24%
7/01/2002,0.684,0.7745,0.779,0.6795,181.58K,-11.68%
6/01/2002,0.7745,0.775,0.792,0.7425,27.54K,0.98%
5/01/2002,0.767,0.74,0.7655,0.712,155.51K,3.79%
4/01/2002,0.739,0.765,0.772,0.713,18.85K,-3.59%
3/01/2002,0.7665,0.7205,0.773,0.713,116.90K,6.38%
2/01/2002,0.7205,0.7385,0.753,0.704,20.98K,-2.11%
1/01/2002,0.736,0.66,0.724,0.6565,152.09K,11.68%
12/01/2001,0.659,0.7205,0.723,0.659,16.01K,-9.60%
11/01/2001,0.729,0.627,0.7285,0.608,3.37K,16.18%
10/01/2001,0.6275,0.6475,0.654,0.62,127.88K,-3.76%
9/01/2001,0.652,0.6765,0.677,0.648,12.57K,-4.68%
8/01/2001,0.684,0.681,0.7,0.66,7.86K,-0.29%
7/01/2001,0.686,0.712,0.723,0.676,106.47K,-3.85%
6/01/2001,0.7135,0.759,0.766,0.71,23.04K,-6.24%
5/01/2001,0.761,0.7765,0.805,0.7475,183.79K,-2.06%
4/01/2001,0.777,0.767,0.79,0.7555,19.27K,1.37%
3/01/2001,0.7665,0.816,0.853,0.7675,166.79K,-6.07%
2/01/2001,0.816,0.846,0.846,0.798,22.70K,-3.09%
1/01/2001,0.842,0.8405,0.864,0.802,167.43K,-0.12%
12/01/2000,0.843,0.855,0.8945,0.841,10.50K,-0.30%
11/01/2000,0.8455,0.8475,0.8635,0.8185,8.98K,-0.76%
10/01/2000,0.852,0.917,0.92,0.8285,174.30K,-7.44%
9/01/2000,0.9205,0.894,0.9355,0.893,14.26K,3.20%
8/01/2000,0.892,0.8675,0.894,0.856,2.91K,1.88%
7/01/2000,0.8755,0.824,0.876,0.808,132.39K,6.25%
6/01/2000,0.824,0.817,0.832,0.7895,17.58K,0.98%
5/01/2000,0.816,0.795,0.855,0.795,302.99K,2.51%
4/01/2000,0.796,0.7995,0.808,0.749,29.04K,-1.55%
3/01/2000,0.8085,0.7985,0.826,0.7815,145.75K,1.32%
2/01/2000,0.798,0.855,0.857,0.781,36.25K,-6.61%
1/01/2000,0.8545,0.8615,0.885,0.831,164.99K,-0.98%
12/01/1999,0.863,0.8005,0.864,0.79,12.62K,6.08%
11/01/1999,0.8135,0.8075,0.826,0.7705,3.08K,0.43%
10/01/1999,0.81,0.825,0.8275,0.752,147.70K,-2.00%
9/01/1999,0.8265,0.7975,0.839,0.791,16.29K,5.02%
8/01/1999,0.787,0.7575,0.786,0.736,2.34K,2.74%
7/01/1999,0.766,0.765,0.803,0.731,166.15K,-0.07%
6/01/1999,0.7665,0.636,0.769,0.6255,43.97K,21.19%
5/01/1999,0.6325,0.7295,0.737,0.617,145.01K,-13.06%
4/01/1999,0.7275,0.63,0.729,0.629,22.45K,15.11%
3/01/1999,0.632,0.6315,0.668,0.6125,177.06K,-0.08%
2/01/1999,0.6325,0.65,0.6895,0.617,20.82K,-2.62%
1/01/1999,0.6495,0.6605,0.679,0.6415,112.16K,-3.35%
12/01/1998,0.672,0.709,0.709,0.657,9.73K,-5.42%
11/01/1998,0.7105,0.7375,0.746,0.7075,1.37K,-2.27%
10/01/1998,0.727,0.7385,0.7545,0.705,134.39K,-1.42%
9/01/1998,0.7375,0.741,0.782,0.729,20.09K,3.07%
8/01/1998,0.7155,0.7565,0.758,0.714,1.51K,-7.02%
7/01/1998,0.7695,0.741,0.809,0.712,141.15K,4.27%
6/01/1998,0.738,0.771,0.7835,0.732,14.58K,-5.14%
5/01/1998,0.778,0.836,0.858,0.735,109.20K,-7.05%
4/01/1998,0.837,0.786,0.866,0.7645,17.25K,4.49%
3/01/1998,0.801,0.779,0.841,0.767,126.68K,3.96%
2/01/1998,0.7705,0.797,0.805,0.729,20.60K,-3.32%
1/01/1998,0.797,0.779,0.815,0.738,102.96K,2.05%
12/01/1997,0.781,0.832,0.836,0.77,9.77K,-8.81%
11/01/1997,0.8565,0.91,0.918,0.841,2.20K,-5.88%
10/01/1997,0.91,0.97,0.982,0.875,149.84K,-6.19%
9/01/1997,0.97,0.97,0.998,0.931,40.17K,-2.46%
8/01/1997,0.9945,1.062,1.071,0.969,2.33K,-7.49%
7/01/1997,1.075,1.121,1.125,1.015,128.97K,-4.15%
6/01/1997,1.1215,1.1425,1.216,1.084,13.42K,-3.73%
5/01/1997,1.165,1.1175,1.2,1.0885,102.84K,4.63%
4/01/1997,1.1135,1.092,1.12,1.034,16.21K,0.50%
3/01/1997,1.108,1.11,1.145,1.069,130.20K,-0.09%
2/01/1997,1.109,1.011,1.1265,1.011,15.90K,8.78%
1/01/1997,1.0195,1.002,1.082,0.994,132.31K,1.70%
12/01/1996,1.0025,1.044,1.048,0.972,7.64K,-6.13%
11/01/1996,1.068,0.901,1.062,0.901,4.06K,18.01%
10/01/1996,0.905,0.901,0.973,0.8745,165.31K,0.44%
9/01/1996,0.901,0.944,0.962,0.863,13.41K,-5.80%
8/01/1996,0.9565,0.924,0.932,0.894,1.23K,3.35%
7/01/1996,0.9255,0.901,0.96,0.852,91.74K,2.38%
6/01/1996,0.904,1.129,1.129,0.833,19.19K,-20.07%
5/01/1996,1.131,1.1875,1.266,1.085,137.06K,-5.08%
4/01/1996,1.1915,1.135,1.226,1.12,15.85K,3.56%
3/01/1996,1.1505,1.154,1.201,1.143,106.32K,-0.22%
2/01/1996,1.153,1.164,1.164,1.114,14.16K,1.68%
1/01/1996,1.134,1.198,1.199,1.11,123.79K,-5.93%
12/01/1995,1.2055,1.265,1.276,1.2025,7.21K,-4.51%
11/01/1995,1.2625,1.244,1.324,1.244,2.64K,2.35%
10/01/1995,1.2335,1.321,1.322,1.207,140.38K,-6.30%
9/01/1995,1.3165,1.306,1.34,1.271,12.41K,-0.83%
8/01/1995,1.3275,1.3295,1.405,1.318,2.42K,-0.45%
7/01/1995,1.3335,1.367,1.417,1.298,127.89K,-2.45%
6/01/1995,1.367,1.329,1.405,1.311,13.53K,5.56%
5/01/1995,1.295,1.273,1.3225,1.215,143.98K,1.89%
4/01/1995,1.271,1.354,1.354,1.248,16.93K,-5.29%
3/01/1995,1.342,1.276,1.394,1.2755,162.05K,4.40%
2/01/1995,1.2855,1.336,1.341,1.279,23.08K,-4.88%
1/01/1995,1.3515,1.3755,1.429,1.305,190.15K,-2.49%
12/01/1994,1.386,1.35,1.39,1.3045,8.03K,3.70%
11/01/1994,1.3365,1.2405,1.327,1.215,1.24K,9.64%
10/01/1994,1.219,1.126,1.235,1.123,157.87K,8.31%
9/01/1994,1.1255,1.15,1.188,1.12,34.21K,-2.93%
8/01/1994,1.1595,1.079,1.155,1.066,1.12K,4.13%
7/01/1994,1.1135,1.0945,1.169,1.079,146.47K,2.86%
6/01/1994,1.0825,1.024,1.138,1.005,19.01K,4.69%
5/01/1994,1.034,0.916,1.0775,0.916,188.37K,13.01%
4/01/1994,0.915,0.879,0.918,0.864,20.37K,5.35%
3/01/1994,0.8685,0.8635,0.932,0.855,151.00K,0.23%
2/01/1994,0.8665,0.866,0.901,0.84,13.41K,0.76%
1/01/1994,0.86,0.8,0.877,0.785,136.90K,3.24%
12/01/1993,0.833,0.764,0.836,0.761,7.69K,11.51%
11/01/1993,0.747,0.733,0.755,0.733,1.46K,1.77%
10/01/1993,0.734,0.756,0.7725,0.72,103.87K,-2.00%
9/01/1993,0.749,0.868,0.868,0.743,16.78K,-12.81%
8/01/1993,0.859,0.878,0.878,0.826,1.26K,-2.72%
7/01/1993,0.883,0.8675,0.9,0.823,112.27K,2.08%
6/01/1993,0.865,0.811,0.867,0.811,20.80K,7.99%
5/01/1993,0.801,0.842,0.8455,0.773,112.13K,-5.21%
4/01/1993,0.845,0.9665,0.9665,0.828,9.41K,-12.53%
3/01/1993,0.966,0.947,0.991,0.9435,89.91K,0.68%
2/01/1993,0.9595,0.992,1.0005,0.949,15.49K,-3.28%
1/01/1993,0.992,1.044,1.08,0.973,107.83K,-4.25%
12/01/1992,1.036,0.975,1.04,0.975,7.75K,5.07%
11/01/1992,0.986,1.015,1.015,0.95,0.84K,-3.05%
10/01/1992,1.017,1.035,1.04,0.988,82.07K,-2.91%
9/01/1992,1.0475,1.124,1.124,1.038,9.53K,-5.20%
8/01/1992,1.105,1.1265,1.155,1.1115,5.80K,-1.78%
7/01/1992,1.125,1.0945,1.171,1.0885,98.77K,2.55%
6/01/1992,1.097,1.017,1.1085,1.017,12.40K,8.35%
5/01/1992,1.0125,1.0035,1.017,0.997,50.96K,0.80%
4/01/1992,1.0045,1.021,1.027,0.985,8.75K,-0.89%
3/01/1992,1.0135,1.026,1.0315,1.003,73.12K,-1.79%
2/01/1992,1.032,0.978,1.04,0.975,15.76K,4.82%
1/01/1992,0.9845,0.971,0.9995,0.937,106.28K,0.92%
12/01/1991,0.9755,1.018,1.018,0.965,8.77K,-3.99%
11/01/1991,1.016,1.054,1.062,1.0285,1.05K,-3.97%
10/01/1991,1.058,1.045,1.08,1.028,95.31K,0.95%
9/01/1991,1.048,1.034,1.075,1.02,12.95K,1.30%
8/01/1991,1.0345,1.002,1.0365,0.9835,1.11K,2.63%
7/01/1991,1.008,1.011,1.0365,0.974,76.57K,0.65%
6/01/1991,1.0015,0.962,1.019,0.961,11.10K,3.89%
5/01/1991,0.964,1.0485,1.068,0.962,89.29K,-8.28%
4/01/1991,1.051,1.057,1.106,1.045,13.22K,-0.38%
3/01/1991,1.055,1.103,1.115,1.052,69.59K,-5.38%
2/01/1991,1.115,1.0575,1.123,1.044,11.19K,5.69%
1/01/1991,1.055,1.1625,1.197,1.023,116.28K,-9.71%
12/01/1990,1.1685,1.09,1.178,1.008,13.80K,7.70%
11/01/1990,1.085,1.122,1.165,1.081,1.05K,-4.45%
10/01/1990,1.1355,1.172,1.233,1.116,123.05K,-4.42%
9/01/1990,1.188,1.254,1.3255,1.173,13.36K,-6.09%
8/01/1990,1.265,1.2325,1.315,1.213,0.90K,3.18%
7/01/1990,1.226,1.1385,1.266,1.128,98.45K,7.54%
6/01/1990,1.14,1.094,1.16,1.065,20.53K,5.36%
5/01/1990,1.082,1.1065,1.1925,1.083,110.34K,-0.64%
4/01/1990,1.089,1.19,1.205,1.072,7.26K,-7.79%
3/01/1990,1.181,1.091,1.224,1.086,120.63K,9.10%
2/01/1990,1.0825,0.98,1.1075,0.972,7.22K,10.69%
1/01/1990,0.978,1.045,1.125,0.95,117.39K,-8.08%
12/01/1989,1.064,1.0975,1.0975,1.025,4.99K,-2.74%
11/01/1989,1.094,1.1745,1.19,1.074,0.80K,-5.40%
10/01/1989,1.1565,1.275,1.35,1.137,1.09K,9152.00%
9/01/1989,0.0125,1.251,1.255,1.245,0.04K,-99.06%
8/01/1989,1.3345,1.3345,1.3345,1.3345,,16.50%
7/01/1989,1.1455,1.02,1.138,1.02,0.06K,6.41%
6/01/1989,1.0765,1.139,1.139,1.0765,0.10K,-7.28%
5/01/1989,1.161,1.261,1.261,1.261,0.00K,-15.32%
4/01/1989,1.371,1.4,1.4,1.4,0.00K,6.69%
3/01/1989,1.285,1.41,1.41,1.408,0.03K,-4.96%
2/01/1989,1.352,1.3765,1.3765,1.3765,,-0.95%
1/01/1989,1.365,1.378,1.5255,1.378,0.15K,-2.33%
12/01/1988,1.3975,1.413,1.44,1.3325,0.10K,10.26%
11/01/1988,1.2675,1.2675,1.2675,1.2675,,10.89%
10/01/1988,1.143,1.143,1.103,1.143,,17.29%
9/01/1988,0.9745,0.9745,0.9745,0.9745,,2.15%
8/01/1988,0.954,0.954,0.954,0.954,,8.90%
