"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2024","3.7665","3.8040","3.8958","3.7641","","-0.56%"
"01/01/2024","3.7879","3.7063","3.8282","3.6821","","2.27%"
"12/01/2023","3.7040","3.7390","3.8033","3.6710","","-0.50%"
"11/01/2023","3.7226","3.8389","3.8666","3.7083","","-2.65%"
"10/01/2023","3.8241","3.7845","3.8873","3.7785","","1.14%"
"09/01/2023","3.7811","3.6902","3.8181","3.6800","","2.87%"
"08/01/2023","3.6755","3.6025","3.7422","3.5993","","2.46%"
"07/01/2023","3.5873","3.6193","3.6581","3.5443","","-0.63%"
"06/01/2023","3.6102","3.6701","3.7056","3.6115","","-1.26%"
"05/01/2023","3.6561","3.7076","3.7301","3.6422","","-1.30%"
"04/01/2023","3.7044","3.7611","3.7984","3.7019","","-1.51%"
"03/01/2023","3.7613","3.8003","3.8190","3.7430","","-0.43%"
"02/01/2023","3.7774","3.8518","3.8805","3.7837","","-1.31%"
"01/01/2023","3.8276","3.8060","3.9181","3.7675","","0.65%"
"12/01/2022","3.8030","3.8560","3.9002","3.7865","","-0.38%"
"11/01/2022","3.8175","3.9800","3.9919","3.8040","","-3.52%"
"10/01/2022","3.9569","3.9864","4.0114","3.9413","","-0.45%"
"09/01/2022","3.9747","3.8468","3.9934","3.8396","","3.72%"
"08/01/2022","3.8323","3.9236","3.9417","3.8098","","-2.14%"
"07/01/2022","3.9161","3.8250","3.9889","3.8195","","2.67%"
"06/01/2022","3.8144","3.7150","3.8415","3.6913","","2.81%"
"05/01/2022","3.7100","3.8361","3.8465","3.6445","","-3.26%"
"04/01/2022","3.8350","3.6789","3.8545","3.6175","","4.33%"
"03/01/2022","3.6760","3.7865","3.7981","3.6780","","-2.57%"
"02/01/2022","3.7730","3.8384","3.8928","3.7013","","-1.67%"
"01/01/2022","3.8370","3.9905","4.0029","3.8066","","-3.72%"
"12/01/2021","3.9852","4.0642","4.0953","3.9526","","-1.69%"
"11/01/2021","4.0538","3.9871","4.0784","3.9792","","1.69%"
"10/01/2021","3.9865","4.1362","4.1437","3.9135","","-3.26%"
"09/01/2021","4.1208","4.0920","4.1448","4.0691","","1.08%"
"08/01/2021","4.0766","4.0690","4.1234","4.0418","","0.45%"
"07/01/2021","4.0584","3.8500","4.0724","3.8419","","5.70%"
"06/01/2021","3.8397","3.8344","3.9887","3.7750","","0.33%"
"05/01/2021","3.8271","3.7833","3.8809","3.6432","","1.34%"
"04/01/2021","3.7764","3.7401","3.8477","3.5912","","0.90%"
"03/01/2021","3.7427","3.6458","3.7823","3.6426","","2.60%"
"02/01/2021","3.6477","3.6285","3.6611","3.6260","","0.32%"
"01/01/2021","3.6360","3.6153","3.6667","3.5986","","0.47%"
"12/01/2020","3.6190","3.6070","3.6302","3.5792","","0.37%"
"11/01/2020","3.6058","3.6079","3.6695","3.5635","","-0.21%"
"10/01/2020","3.6135","3.6041","3.6287","3.5565","","0.33%"
"09/01/2020","3.6017","3.5431","3.6065","3.5175","","1.69%"
"08/01/2020","3.5418","3.5305","3.5977","3.5273","","0.29%"
"07/01/2020","3.5317","3.5416","3.5540","3.4818","","-0.25%"
"06/01/2020","3.5407","3.4310","3.5508","3.3786","","3.26%"
"05/01/2020","3.4290","3.3850","3.4599","3.3782","","1.69%"
"04/01/2020","3.3720","3.4392","3.4787","3.3378","","-1.71%"
"03/01/2020","3.4307","3.4445","3.5806","3.3835","","-0.64%"
"02/01/2020","3.4529","3.3847","3.4599","3.3509","","2.04%"
"01/01/2020","3.3840","3.3140","3.3861","3.2959","","2.20%"
"12/01/2019","3.3110","3.3995","3.4065","3.3036","","-2.64%"
"11/01/2019","3.4009","3.3486","3.4100","3.3296","","1.70%"
"10/01/2019","3.3440","3.3820","3.3995","3.3266","","-0.74%"
"09/01/2019","3.3690","3.4015","3.4062","3.3091","","-0.62%"
"08/01/2019","3.3900","3.3035","3.4046","3.3035","","2.67%"
"07/01/2019","3.3020","3.2880","3.3080","3.2740","","0.53%"
"06/01/2019","3.2845","3.3803","3.3826","3.2842","","-2.76%"
"05/01/2019","3.3776","3.3080","3.3825","3.2961","","2.31%"
"04/01/2019","3.3012","3.3185","3.3366","3.2822","","-0.42%"
"03/01/2019","3.3150","3.3055","3.3238","3.2840","","0.49%"
"02/01/2019","3.2987","3.3355","3.3445","3.2947","","-0.97%"
"01/01/2019","3.3309","3.3705","3.3755","3.3098","","-1.10%"
"12/01/2018","3.3680","3.3825","3.3880","3.3359","","-0.31%"
"11/01/2018","3.3786","3.3707","3.3910","3.3508","","0.35%"
"10/01/2018","3.3668","3.3040","3.3726","3.2983","","2.04%"
"09/01/2018","3.2995","3.3055","3.3391","3.2865","","-0.03%"
"08/01/2018","3.3005","3.2717","3.3291","3.2601","","1.02%"
"07/01/2018","3.2671","3.2810","3.2945","3.2629","","-0.40%"
"06/01/2018","3.2802","3.2715","3.2888","3.2529","","0.28%"
"05/01/2018","3.2710","3.2525","3.2958","3.2495","","0.70%"
"04/01/2018","3.2482","3.2300","3.2579","3.2125","","0.69%"
"03/01/2018","3.2260","3.2663","3.2827","3.2104","","-1.19%"
"02/01/2018","3.2648","3.2160","3.2830","3.2081","","1.58%"
"01/01/2018","3.2140","3.2390","3.2398","3.1987","","-0.71%"
"12/01/2017","3.2370","3.2327","3.3015","3.2299","","0.23%"
"11/01/2017","3.2295","3.2500","3.2666","3.2293","","-0.60%"
"10/01/2017","3.2490","3.2655","3.2771","3.2288","","-0.36%"
"09/01/2017","3.2609","3.2395","3.2827","3.2279","","0.83%"
"08/01/2017","3.2342","3.2375","3.2565","3.2325","","-0.18%"
"07/01/2017","3.2400","3.2505","3.2652","3.2355","","-0.21%"
"06/01/2017","3.2467","3.2690","3.2835","3.2410","","-0.68%"
"05/01/2017","3.2690","3.2438","3.3000","3.2400","","0.78%"
"04/01/2017","3.2436","3.2485","3.2645","3.2335","","-0.04%"
"03/01/2017","3.2448","3.2648","3.3096","3.2331","","-0.56%"
"02/01/2017","3.2630","3.2720","3.3050","3.2327","","-0.13%"
"01/01/2017","3.2672","3.3560","3.3994","3.2693","","-2.62%"
"12/01/2016","3.3550","3.4151","3.4270","3.3446","","-1.60%"
"11/01/2016","3.4096","3.3610","3.4415","3.3503","","1.51%"
"10/01/2016","3.3590","3.3830","3.4221","3.3420","","-0.67%"
"09/01/2016","3.3815","3.3920","3.4185","3.3312","","-0.27%"
"08/01/2016","3.3905","3.3520","3.4035","3.2935","","1.30%"
"07/01/2016","3.3471","3.3007","3.3777","3.2700","","1.95%"
"06/01/2016","3.2831","3.3767","3.3925","3.2693","","-2.63%"
"05/01/2016","3.3719","3.2715","3.3783","3.2674","","2.93%"
"04/01/2016","3.2759","3.3129","3.4167","3.2342","","-1.03%"
"03/01/2016","3.3100","3.5232","3.5319","3.3015","","-5.93%"
"02/01/2016","3.5185","3.4861","3.5515","3.4674","","1.44%"
"01/01/2016","3.4684","3.4152","3.4787","3.3998","","1.81%"
"12/01/2015","3.4068","3.3732","3.4181","3.3572","","1.35%"
"11/01/2015","3.3613","3.2800","3.3903","3.2764","","2.79%"
"10/01/2015","3.2701","3.2330","3.2957","3.2045","","1.48%"
"09/01/2015","3.2223","3.2400","3.2620","3.1795","","-0.42%"
"08/01/2015","3.2360","3.1910","3.3131","3.1795","","1.88%"
"07/01/2015","3.1762","3.1795","3.2015","3.1628","","0.30%"
"06/01/2015","3.1666","3.1580","3.1960","3.1326","","0.74%"
"05/01/2015","3.1434","3.1308","3.1747","3.1103","","0.72%"
"04/01/2015","3.1210","3.0935","3.1515","3.0803","","1.23%"
"03/01/2015","3.0832","3.0935","3.1123","3.0553","","-0.32%"
"02/01/2015","3.0930","3.0625","3.1040","3.0515","","1.05%"
"01/01/2015","3.0610","2.9765","3.0640","2.9644","","2.75%"
"12/01/2014","2.9790","2.9240","2.9970","2.9230","","1.95%"
"11/01/2014","2.9220","2.9210","2.9523","2.9060","","0.00%"
"10/01/2014","2.9220","2.8900","2.9280","2.8830","","1.25%"
"09/01/2014","2.8860","2.8480","2.9265","2.8425","","1.48%"
"08/01/2014","2.8440","2.8010","2.8550","2.7830","","1.59%"
"07/01/2014","2.7995","2.7990","2.8055","2.7620","","0.09%"
"06/01/2014","2.7970","2.7645","2.8170","2.7640","","1.23%"
"05/01/2014","2.7630","2.8075","2.8180","2.7530","","-1.57%"
"04/01/2014","2.8070","2.8113","2.8435","2.7590","","-0.06%"
"03/01/2014","2.8088","2.7980","2.8180","2.7930","","0.48%"
"02/01/2014","2.7955","2.8240","2.8277","2.7965","","-0.80%"
"01/01/2014","2.8180","2.7967","2.8380","2.7927","","0.90%"
"12/01/2013","2.7930","2.7990","2.8063","2.7552","","-0.25%"
"11/01/2013","2.8000","2.7730","2.8122","2.7720","","0.96%"
"10/01/2013","2.7735","2.7855","2.7940","2.7500","","-0.32%"
"09/01/2013","2.7825","2.8090","2.8125","2.7325","","-0.86%"
"08/01/2013","2.8065","2.7960","2.8263","2.7845","","0.45%"
"07/01/2013","2.7940","2.7820","2.8010","2.7503","","0.52%"
"06/01/2013","2.7795","2.7435","2.7970","2.6975","","1.40%"
"05/01/2013","2.7410","2.6435","2.7435","2.5980","","3.79%"
"04/01/2013","2.6410","2.5910","2.6570","2.5735","","2.03%"
"03/01/2013","2.5885","2.5810","2.6105","2.5807","","0.39%"
"02/01/2013","2.5785","2.5845","2.5928","2.5640","","-0.14%"
"01/01/2013","2.5820","2.5525","2.5925","2.5352","","1.25%"
"12/01/2012","2.5500","2.5790","2.5935","2.5443","","-1.03%"
"11/01/2012","2.5765","2.5915","2.6210","2.5758","","-0.48%"
"10/01/2012","2.5890","2.5975","2.6125","2.5756","","-0.23%"
"09/01/2012","2.5950","2.6115","2.6361","2.5919","","-0.54%"
"08/01/2012","2.6090","2.6260","2.6375","2.6082","","-0.55%"
"07/01/2012","2.6235","2.6655","2.6658","2.6170","","-1.48%"
"06/01/2012","2.6630","2.7075","2.7106","2.6360","","-1.55%"
"05/01/2012","2.7050","2.6405","2.7115","2.6340","","2.54%"
"04/01/2012","2.6380","2.6605","2.6685","2.6365","","-1.03%"
"03/01/2012","2.6655","2.6760","2.6805","2.6665","","-0.28%"
"02/01/2012","2.6730","2.6880","2.6905","2.6740","","-0.56%"
"01/01/2012","2.6880","2.6950","2.7040","2.6890","","-0.30%"
"12/01/2011","2.6960","2.6990","2.7025","2.6920","","-0.11%"
"11/01/2011","2.6990","2.7085","2.7185","2.6970","","-0.23%"
"10/01/2011","2.7053","2.7730","2.7790","2.7040","","-2.44%"
"09/01/2011","2.7730","2.7250","2.7915","2.7240","","1.54%"
"08/01/2011","2.7310","2.7400","2.7575","2.7255","","-0.21%"
"07/01/2011","2.7367","2.7480","2.7560","2.7339","","-0.45%"
"06/01/2011","2.7490","2.7680","2.7975","2.7469","","-0.61%"
"05/01/2011","2.7660","2.8370","2.8395","2.7460","","-2.12%"
"04/01/2011","2.8260","2.8030","2.8365","2.7960","","0.75%"
"03/01/2011","2.8050","2.7730","2.8165","2.7642","","1.17%"
"02/01/2011","2.7725","2.7689","2.8028","2.7628","","0.13%"
"01/01/2011","2.7690","2.8030","2.8185","2.7675","","-1.28%"
"12/01/2010","2.8050","2.8240","2.8321","2.7895","","-0.88%"
"11/01/2010","2.8300","2.7980","2.8359","2.7880","","1.14%"
"10/01/2010","2.7980","2.7870","2.8015","2.7835","","0.39%"
"09/01/2010","2.7870","2.7970","2.7990","2.7810","","-0.32%"
"08/01/2010","2.7960","2.8190","2.8245","2.7925","","-0.82%"
"07/01/2010","2.8190","2.8360","2.8390","2.8087","","-0.21%"
"06/01/2010","2.8250","2.8360","2.8375","2.8235","","-0.74%"
"05/01/2010","2.8462","2.8378","2.8588","2.8357","","-0.01%"
"04/01/2010","2.8465","2.8415","2.8505","2.8318","","0.21%"
"03/01/2010","2.8405","2.8590","2.8640","2.8215","","-0.26%"
"02/01/2010","2.8480","2.8610","2.8760","2.8410","","-0.44%"
"01/01/2010","2.8605","2.8805","2.8895","2.8405","","-0.99%"
"12/01/2009","2.8890","2.8890","2.8960","2.8605","","0.28%"
"11/01/2009","2.8810","2.9090","2.9160","2.8610","","-0.96%"
"10/01/2009","2.9090","2.8890","2.9130","2.8502","","0.96%"
"09/01/2009","2.8813","2.9537","2.9558","2.8607","","-2.48%"
"08/01/2009","2.9545","2.9865","2.9875","2.9184","","-1.05%"
"07/01/2009","2.9860","3.0100","3.0330","2.9805","","-0.68%"
"06/01/2009","3.0065","3.0075","3.0325","2.9588","","0.75%"
"05/01/2009","2.9840","2.9830","3.0640","2.9500","","0.12%"
"04/01/2009","2.9805","3.1525","3.1695","2.9805","","-5.46%"
"03/01/2009","3.1527","3.2505","3.2605","3.0995","","-3.01%"
"02/01/2009","3.2505","3.1605","3.2555","3.1605","","1.61%"
"01/01/2009","3.1990","3.1540","3.2085","3.1040","","2.06%"
"12/01/2008","3.1345","3.0955","3.1660","3.0645","","1.41%"
"11/01/2008","3.0910","3.0930","3.1465","3.0570","","-0.64%"
"10/01/2008","3.1110","3.0020","3.2550","2.9800","","4.38%"
"09/01/2008","2.9805","2.9335","2.9875","2.9250","","0.98%"
"08/01/2008","2.9515","2.8040","2.9625","2.7630","","5.00%"
"07/01/2008","2.8110","2.9580","2.9680","2.7950","","-5.08%"
"06/01/2008","2.9615","2.8260","2.9845","2.7800","","4.04%"
"05/01/2008","2.8465","2.8141","2.8795","2.7410","","1.10%"
"04/01/2008","2.8155","2.7451","2.8775","2.6800","","2.51%"
"03/01/2008","2.7466","2.8890","2.8904","2.7308","","-4.95%"
"02/01/2008","2.8895","2.9330","2.9345","2.8840","","-1.50%"
"01/01/2008","2.9335","2.9950","2.9985","2.9080","","-2.15%"
"12/01/2007","2.9980","2.9951","3.0060","2.9600","","0.05%"
"11/01/2007","2.9966","2.9991","3.0185","2.9880","","-0.13%"
"10/01/2007","3.0005","3.0840","3.0854","2.9930","","-2.72%"
